Arroz Valluno,Plato principal,Caja personal|Tortilla de huevo|Chuleta|Papas a la francesa|Verduras,7000
Arroz Valluno,Plato principal,Caja para dos|Tortilla de huevo|Chuleta|Papas a la francesa|Verduras,14000
Arroz a la barbacoa,Plato principal,Caja personal|Costilla de cerdo|Chorizo|Lomo biche|Verduras|Pollo,8000
Arroz a la barbacoa,Plato principal,Caja para dos,Costilla de cerdo|Chorizo|Lomo biche|Verduras|Pollo,16000
Arroz Oriental,Plato principal,Caja personal|Pollo|Cerdo|Jamón|Camarón,8000
Arroz Oriental,Plato principal,Caja para dos|Pollo|Cerdo|Jamón|Camarón,16000
Arroz llanero,Plato principal,Caja personal|Lomo de cerdo ahumado|Lomo biche|Costilla|Pollo|Verduras,8000
Arroz llanero,Plato principal,Caja para dos|Lomo de cerdo ahumado|Lomo biche|Costilla|Pollo|Verduras,16000
Arroz Vegetariano, Plato principal,Caja personal|Tortilla de huevo|Lecuha|Batavia|Verduras,6000
Arroz Vegetariano, Plato principal,Caja para dos|Tortilla de huevo|Lecuha|Batavia|Verduras,12000
Arroz del puerto,Plato principal,Caja personal|Camarón|Pollo|Verduras,7000
Arroz del puerto,Plato principal,Caja para dos|Camarón|Pollo|Verduras,14000
Arroz Colombiano,Plato principal,Caja personal|Lomo biche|Pollo|Cábano|Chicharrón|Maduro|Verduras,8000
Arroz Colombiano,Plato principal,Caja personal|Lomo biche|Pollo|Cábano|Chicharrón|Maduro|Verduras,16000
Arroz Mediterraneo,Plato principal,Caja personal|Camarón|Pulpo|Pollo|Cerdo|Jamón|Verduras|Tortilla de huevo|Ostras|Lechuga|Batavia,10000
Arroz Mediterraneo,Plato principal,Caja para dos|Camarón|Pulpo|Pollo|Cerdo|Jamón|Verduras|Tortilla de huevo|Ostras|Lechuga|Batavia,20000
